Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
citrus-seduction,,,,,,,,,,,,,,,,,,,,,,,,,https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/39ee9243-19fc-40e2-aa61-a6e70f595df2/citrus+seduction+bottle.jpeg,2,Citrus Seduction - Image 2,,,,,,,,,,,,,,,,,,,,
clares-secrets,Clare's Secrets,"<pre><code>Inspired By: Shangri-La Hotel </code></pre><ul ><li><p ><strong><span>Top Notes: </span></strong><span>Citrus, Orange Blossom, Green Tea</span></p></li><li><p ><strong><span>Middle Notes: </span></strong><span>Jasmine, Royal Amber</span></p></li><li><p ><strong><span>Base Notes:</span></strong><span> Vanilla, Sandalwood, Oakmoss</span></p></li></ul><p >It starts with a burst of citrus, orange blossom, and green tea—sharp, zesty, and bold enough to make everyone sit up and notice. But then, just when you think she's all fun and games, jasmine and royal amber swoop in, bringing that sultry, “I’m more than you bargained for” vibe. Finally, vanilla, sandalwood, and oakmoss wrap everything up with a smooth, earthy finish that lingers like a secret you can’t quite shake. It’s confident, sweet, and she definitely doesn’t apologize for being unforgettable.</p><p ><strong>Mood: </strong>Crispy. Elegant. Bright.</p><h4 ><strong>Size Matters</strong></h4><p >Let us help you decide which bottle size to select based on the Whiff Maker [Diffuser] model.</p><ul ><li><p ><strong>10ml: </strong>Perfect size for <a href=""https://www.whiffedaromas.com/machines-diffusers/p/mobile-one"">Mobile One</a> or <a href=""https://www.whiffedaromas.com/machines-diffusers/p/mobile-two"">Mobile Two</a></p></li><li><p ><strong>150ml: </strong>Works for either <a href=""https://www.whiffedaromas.com/machines-diffusers/p/fusion-200"">Fusion 200</a> (200ml) or <a href=""https://www.whiffedaromas.com/machines-diffusers/p/twosome"">Twosome</a> (100ml).</p></li><li><p ><strong>500ml</strong>: Fills up <a href=""https://www.whiffedaromas.com/machines-diffusers/p/fusion-500"">Fusion 500</a> (500ml) and <a href=""https://www.whiffedaromas.com/machines-diffusers/p/polymer-one"">Polymer One</a> (400ml) to satisfaction, with more left for later.</p></li></ul><p >View a complete list of all machines <a href=""https://www.whiffedaromas.com/machines-by-space-size"">her</a><a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-by-space-size"">e</a>.</p>",Whiffed Aromas,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Fragrance Oil,,TRUE,Size,500ml,,,,,HC-CSS-500,,shopify,999,deny,manual,124.99,94.99,TRUE,TRUE,,,,,FALSE,Clare's Secrets,,,unisex,adult,HC-CSS-500,new,TRUE,,ml,,,TRUE,,,TRUE,,,active
clares-secrets,,,,,,,,,,,,,,,,,,,,,,,,,https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/8cf3f98f-a87f-48c1-9cc2-41873f9c364e/clare%27s+secrets+scent.png,1,Clare's Secrets - Image 1,,,,,,,,,,,,,,,,,,,,
clares-secrets,,,,,,,,,,,,,,,,,,,,,,,,,https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/d2d9eb14-fe75-4d5c-b5c4-ab7171a02d8b/clare%27s+secrets.jpeg,2,Clare's Secrets - Image 2,,,,,,,,,,,,,,,,,,,,
blooming-flirt,Blooming Flirt,"<pre><code>Inspired By: Ritz Carlton Hotels</code></pre><ul ><li><p ><strong><span>Top Notes: </span></strong><span>Bergamot, Fresh Greens,Apple, Melon</span></p></li><li><p ><strong><span>Middle Notes: </span></strong><span>Jasmine, Rose, Cyclamen</span></p></li><li><p ><strong><span>Base Notes: </span></strong><span>Musk and Sandalwood</span></p></li></ul><p >Bergamot, fresh greens, apple, and melon kick things off with a crisp, zesty burst—bright, bold, and here to get your attention. Then, jasmine, rose, and cyclamen slide in, softening the mood with a flirtatious floral touch that says, “I’m sweet, but don’t get too comfortable.” And just when you think you’ve figured it out, musk and sandalwood wrap everything up with a warm, earthy finish that lingers like a secret you’re dying to tell. It’s playful, it’s confident, and it’s definitely not here to be forgotten.</p><p ><strong>Mood: </strong>Fresh. Balanced. Soft.</p><h4 ><strong>Size Matters</strong></h4><p >Let us help you decide which bottle size to select based on the Whiff Maker [Diffuser] model.</p><ul ><li><p ><strong>10ml: </strong>Perfect size for <a href=""https://www.whiffedaromas.com/machines-diffusers/p/mobile-one"">Mobile One</a> or <a href=""https://www.whiffedaromas.com/machines-diffusers/p/mobile-two"">Mobile Two</a></p></li><li><p ><strong>150ml: </strong>Works for either <a href=""https://www.whiffedaromas.com/machines-diffusers/p/fusion-200"">Fusion 200</a> (200ml) or <a href=""https://www.whiffedaromas.com/machines-diffusers/p/twosome"">Twosome</a> (100ml).</p></li><li><p ><strong>500ml</strong>: Fills up <a href=""https://www.whiffedaromas.com/machines-diffusers/p/fusion-500"">Fusion 500</a> (500ml) and <a href=""https://www.whiffedaromas.com/machines-diffusers/p/polymer-one"">Polymer One</a> (400ml) to satisfaction, with more left for later.</p></li></ul><p >View a complete list of all machines <a href=""https://www.whiffedaromas.com/machines-by-space-size"">her</a><a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-by-space-size"">e</a>.</p>",Whiffed Aromas,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Fragrance Oil,,TRUE,Size,500ml,,,,,HC-BFT-500,,shopify,999,deny,manual,124.99,74.99,TRUE,TRUE,,,,,FALSE,Blooming Flirt,,,unisex,adult,HC-BFT-500,new,TRUE,,ml,,,TRUE,,,TRUE,,,active
blooming-flirt,,,,,,,,,,,,,,,,,,,,,,,,,https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/75e37b89-ea4e-4146-9cb8-fb9786d90aaa/blooming+flirt+scent.png,1,Blooming Flirt - Image 1,,,,,,,,,,,,,,,,,,,,
blooming-flirt,,,,,,,,,,,,,,,,,,,,,,,,,https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/2a94aa88-aa2d-4d81-b5f5-3c061c3b755e/blooking+flirt+bottle.jpeg,2,Blooming Flirt - Image 2,,,,,,,,,,,,,,,,,,,,
on-par,On Par,"<h4 ><a href=""/gilded-exotics"">A GILDED EXOTICS COLLECTION</a></h4><pre><code>Inspired By: Tom Ford, Ombre Leather</code></pre><ul ><li><p ><strong><span>Top Notes: </span></strong><span>Violet Leaf, and Cedar</span></p></li><li><p ><strong><span>Middle Notes:</span></strong><span> Jasmine Sambac, and Orris</span></p></li><li><p ><strong><span>Base Notes: </span></strong><span>Leather, Woody Notes, and Tobacco</span></p></li></ul><p >It opens like a stolen glance—cool violet leaf and smoky cedar brushing past you with an effortless edge. Then, jasmine sambac and orris bloom—soft, silky, and just a little undone, like someone slipping out of their silk robe.</p><p >But the real seduction starts at the base: leather, deep woods, and a whisper of tobacco that lingers like the memory of last night on your skin. Warm. Intimate. Addictive.</p><p >This isn’t just a scent. It’s a slow burn. And darling, you’ll want to let it linger.</p><p ><strong>Mood:</strong> Leathery. Elegant. Modern.</p><h4 ><strong>Size Matters</strong></h4><p >Let us help you decide which bottle size to select based on the Whiff Maker [Diffuser] model.</p><ul ><li><p ><strong><span>10ml: </span></strong>Perfect size for <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/mobile-one"">Mobile One</a> or <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/mobile-two"">Mobile Two</a></p></li><li><p ><strong><span>150ml: </span></strong>Works for either <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/fusion-200"">Fusion 200</a> (200ml) or <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/twosome"">Twosome</a> (100ml).</p></li><li><p ><strong><span>500ml</span></strong>: Fills up <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/fusion-500"">Fusion 500</a> (500ml) and <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/polymer-one"">Polymer One</a> (400ml) to satisfaction, with more left for later.</p></li></ul><p >View a complete list of all machines <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-by-space-size"">here</a>.</p>",Whiffed Aromas,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Fragrance Oil,,TRUE,Size,500ml,,,,,GE-OP-500,,shopify,999,deny,manual,159.99,129.99,TRUE,TRUE,,,,,FALSE,On Par,,,unisex,adult,GE-OP-500,new,TRUE,,ml,,,TRUE,,,TRUE,,,active
on-par,,,,,,,,,,,,,,,,,,,,,,,,,https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/eb6fda56-27e6-4d9e-bc48-6614b9484017/On+Par+bottle.jpeg,1,On Par - Image 1,,,,,,,,,,,,,,,,,,,,
on-par,,,,,,,,,,,,,,,,,,,,,,,,,https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/30495cf3-77cf-42ab-a151-c872da18a836/on+par+scent.png,2,On Par - Image 2,,,,,,,,,,,,,,,,,,,,
will-to-live,Will To Live,"<h4 ><a href=""/gilded-exotics"">A GILDED EXOTICS COLLECTION</a></h4><pre><code>Inspired By: Tuxedo, YSL</code></pre><ul ><li><p ><strong><span>Top Notes: </span></strong>Violet Leaf, Coriander, and Bergamot</p></li><li><p ><strong><span>Middle Notes: </span></strong><span>Rose, Black Pepper, and Lily-of-the-Valley</span></p></li><li><p ><strong><span>Base Notes: </span></strong><span>Patchouli, Ambergris, and Bourbon Vanilla</span></p></li></ul><p >This scent doesn’t follow rules—it breaks them. Crisp violet leaf and zesty bergamot kick things off with a fresh, fearless spark. At the heart, rose and lily-of-the-valley mix with black pepper to keep things spicy and intriguingly floral. Finally, patchouli, ambergris, and bourbon vanilla bring the wild side—smoky, smooth, and irresistibly addictive.</p><p >Living Bold. Refined. Untamed.</p><p ><strong>Mood: </strong>Green. Elegant. Modern.</p><h4 ><strong>Size Matters</strong></h4><p >Let us help you decide which bottle size to select based on the Whiff Maker [Diffuser] model.</p><ul ><li><p ><strong><span>10ml: </span></strong>Perfect size for <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/mobile-one"">Mobile One</a> or <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/mobile-two"">Mobile Two</a></p></li><li><p ><strong><span>150ml: </span></strong>Works for either <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/fusion-200"">Fusion 200</a> (200ml) or <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/twosome"">Twosome</a> (100ml).</p></li><li><p ><strong><span>500ml</span></strong>: Fills up <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/fusion-500"">Fusion 500</a> (500ml) and <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/polymer-one"">Polymer One</a> (400ml) to satisfaction, with more left for later.</p></li></ul><p >View a complete list of all machines <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-by-space-size"">here</a>.</p>",Whiffed Aromas,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Fragrance Oil,,TRUE,Size,500ml,,,,,GE-WTL-500,,shopify,999,deny,manual,159.99,129.99,TRUE,TRUE,,,,,FALSE,Will To Live,,,unisex,adult,GE-WTL-500,new,TRUE,,ml,,,TRUE,,,TRUE,,,active
will-to-live,,,,,,,,,,,,,,,,,,,,,,,,,https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/decd0486-ba4f-4b21-8b06-7ec02ecf5457/will+to+live.png,1,Will To Live - Image 1,,,,,,,,,,,,,,,,,,,,
will-to-live,,,,,,,,,,,,,,,,,,,,,,,,,https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/ab820650-ef0d-42fc-b51d-c2a55aac465c/will+to+live+bottle.jpeg,2,Will To Live - Image 2,,,,,,,,,,,,,,,,,,,,
juicy-theory,Juicy Theory,"<h4 ><a href=""/gilded-exotics""><strong>A GILDED EXOTICS COLLECTION</strong></a></h4><pre><code>Inspired By: Pacific Chill, Louis Vuitton</code></pre><ul ><li><p ><strong><span>Top Notes: </span></strong><span>Mint, Orange, Lemon, Black Currant, and Coriander</span></p></li><li><p ><strong><span>Middle Notes:</span></strong><span> Apricot, Basil, Carrot Seeds, and May Rose</span></p></li><li><p ><strong><span>Base Notes: </span></strong><span>Fig, Dates and Ambrette.</span></p></li></ul><p >Starts off all bright and innocent—zesty citron, cool mint, and a splash of orange that says, “I’m sweet, I swear.” But wait for it… the apricot and basil come in hot, and things get juicy fast. By the time fig, dates, and ambrette show up, it’s less citrus grove, more slow-burn seduction.</p><p ><strong>Mood:</strong> Bright, Citrusy, Beach</p><h4 ><strong>Size Matters</strong></h4><p >Let us help you decide which bottle size to select based on the Whiff Maker [Diffuser] model.</p><ul ><li><p ><strong><span>10ml: </span></strong>Perfect size for <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/mobile-one"">Mobile One</a> or <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/mobile-two"">Mobile Two</a></p></li><li><p ><strong><span>150ml: </span></strong>Works for either <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/fusion-200"">Fusion 200</a> (200ml) or <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/twosome"">Twosome</a> (100ml).</p></li><li><p ><strong><span>500ml</span></strong>: Fills up <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/fusion-500"">Fusion 500</a> (500ml) and <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/polymer-one"">Polymer One</a> (400ml) to satisfaction, with more left for later.</p></li></ul><p >View a complete list of all machines <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-by-space-size"">here</a>.</p>",Whiffed Aromas,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Fragrance Oil,,TRUE,Size,10ml,,,,,GE-JT-10,,shopify,999,deny,manual,29.99,19.99,TRUE,TRUE,,,,,FALSE,Juicy Theory,,,unisex,adult,GE-JT-10,new,TRUE,,ml,,,TRUE,,,TRUE,,,active
juicy-theory,,,,,,,,,,,,,,,,,,,,,,,,,https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/6d2bfa13-62f0-4764-a75a-77a69e931800/juice+theory+scent.png,1,Juicy Theory - Image 1,,,,,,,,,,,,,,,,,,,,
juicy-theory,,,,,,,,,,,,,,,,,,,,,,,,,https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/db199f08-28bd-4fbb-bf13-2f0b340dfe7b/juicy+theory+bottle.jpeg,2,Juicy Theory - Image 2,,,,,,,,,,,,,,,,,,,,
naughty-secrets,Naughty Secrets,"<h4 ><a href=""/gilded-exotics""><strong>A GILDED EXOTICS COLLECTION</strong></a></h4><pre><code>Inspired By: Imagination, Louis Vuitton</code></pre><ul ><li><p ><strong><span>Top Notes: </span></strong><span>Citron, Calabrian Bergamot and Sicilian Orange</span></p></li><li><p ><strong><span>Middle Notes:</span></strong><span> Tunisian Neroli, Nigerian Ginger, and Ceylon Cinnamon</span></p></li><li><p ><strong><span>Base Notes: </span></strong><span>Chinese Black Tea, Ambroxan, Guaiac Wood, and Olibanum</span></p></li></ul><p >Citrus misbehaves in this scent. A sharp spark of Sicilian orange and Calabrian bergamot leads you somewhere bright... before Tunisian neroli and Nigerian ginger start whispering secrets. By the time Ceylon cinnamon kicks in, you're already in too deep. Grounded by smoky Chinese black tea, warm ambroxan, and a touch of holy olibanum, Imaginasty doesn’t just scent the room—it leaves stories behind.</p><p >For the chill ones who secretly indulge.</p><p ><strong>Mood: </strong>Fresh. Refined. Sleek.</p><h4 ><strong>Size Matters</strong></h4><p >Let us help you decide which bottle size to select based on the Whiff Maker [Diffuser] model.</p><ul ><li><p ><strong><span>10ml: </span></strong>Perfect size for <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/mobile-one"">Mobile One</a> or <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/mobile-two"">Mobile Two</a></p></li><li><p ><strong><span>150ml: </span></strong>Works for either <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/fusion-200"">Fusion 200</a> (200ml) or <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/twosome"">Twosome</a> (100ml).</p></li><li><p ><strong><span>500ml</span></strong>: Fills up <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/fusion-500"">Fusion 500</a> (500ml) and <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/polymer-one"">Polymer One</a> (400ml) to satisfaction, with more left for later.</p></li></ul><p >View a complete list of all machines <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-by-space-size"">here</a>.</p>",Whiffed Aromas,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Fragrance Oil,,TRUE,Size,500ml,,,,,GE-c-500,,shopify,999,deny,manual,1600.00,129.99,TRUE,TRUE,,,,,FALSE,Naughty Secrets,,,unisex,adult,GE-c-500,new,TRUE,,ml,,,TRUE,,,TRUE,,,active
naughty-secrets,,,,,,,,,,,,,,,,,,,,,,,,,https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/cf6afe80-efe0-4439-93f5-2212a24e63d8/imaginaughty.png,1,Naughty Secrets - Image 1,,,,,,,,,,,,,,,,,,,,
naughty-secrets,,,,,,,,,,,,,,,,,,,,,,,,,https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/22733161-5dec-4723-aee8-42e2c159382f/naughty+secrets+bottle.jpeg,2,Naughty Secrets - Image 2,,,,,,,,,,,,,,,,,,,,
sticky-situation,Sticky Situation,"<h4 ><a href=""/gilded-exotics"">A GILDED EXOTICS COLLECTION</a></h4><pre><code>Inspired By: Ambre Narguile, Hermès</code></pre><ul ><li><p ><strong><span>Top Notes: </span></strong><span>Cinnamon, Honey ,and Rum</span></p></li><li><p ><strong><span>Middle Notes: </span></strong><span>Orchid and Tobacco</span></p></li><li><p ><strong><span>Base Notes:</span></strong><span> Tonka Bean, Vanilla, Benzoin, Labdanum, Caramel, and Musk</span></p></li></ul><p >Cinnamon, honey, and rum start this scent like a sultry whisper—warm, sweet, and totally irresistible. Orchid and tobacco tease your senses in the middle, turning up the heat just enough to keep you hooked. Then tonka bean, vanilla, caramel, and musk wrap you in a sticky, decadent finish that’s as scandalous as it is comforting.</p><p >It’s the kind of scent that flirts hard but plays nice—just like you.</p><p ><strong>Mood:</strong> Smooth. Warm. Composed.</p><h4 ><strong>Size Matters</strong></h4><p >Let us help you decide which bottle size to select based on the Whiff Maker [Diffuser] model.</p><ul ><li><p ><strong><span>10ml: </span></strong>Perfect size for <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/mobile-one"">Mobile One</a> or <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/mobile-two"">Mobile Two</a></p></li><li><p ><strong><span>150ml: </span></strong>Works for either <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/fusion-200"">Fusion 200</a> (200ml) or <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/twosome"">Twosome</a> (100ml).</p></li><li><p ><strong><span>500ml</span></strong>: Fills up <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/fusion-500"">Fusion 500</a> (500ml) and <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/polymer-one"">Polymer One</a> (400ml) to satisfaction, with more left for later.</p></li></ul><p >View a complete list of all machines <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-by-space-size"">here</a>.</p>",Whiffed Aromas,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Fragrance Oil,,TRUE,Size,500ml,,,,,GE-SS-500,,shopify,999,deny,manual,160.00,129.00,TRUE,TRUE,,,,,FALSE,Sticky Situation,,,unisex,adult,GE-SS-500,new,TRUE,,ml,,,TRUE,,,TRUE,,,active
sticky-situation,,,,,,,,,,,,,,,,,,,,,,,,,https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/8ae9b861-90f1-4939-a36b-721a9df43c57/sticky+situation+scent.png,1,Sticky Situation - Image 1,,,,,,,,,,,,,,,,,,,,
sticky-situation,,,,,,,,,,,,,,,,,,,,,,,,,https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/8742f8fe-2003-43cd-821a-75f0463c53b5/sticky+situation+bottle.jpeg,2,Sticky Situation - Image 2,,,,,,,,,,,,,,,,,,,,
sweet-juliet,Sweet Juliet,"<h4 ><a href=""/gilded-exotics""><strong>A GILDED EXOTICS COLLECTION</strong></a></h4><pre><code>Inspired By: N°5, CHANEL</code></pre><ul ><li><p ><strong><span>Top Notes: </span></strong><span>Aldehydes, Ylang-Ylang, Neroli, Bergamot, and Lemon</span></p></li><li><p ><strong><span>Middle Notes: </span></strong><span>Iris, Jasmine, Rose, Orris Root, and Lily-of-the-Valley</span></p></li><li><p ><strong><span>Base Notes: </span></strong><span>Civet, Musk, Sandalwood, Amber, Moss, Vanilla, Vetiver, and Patchouli</span></p></li></ul><p >Don’t let the florals fool you—this scent’s got attitude. Bright aldehydes and zesty citrus open the show, while a lush bouquet of iris, jasmine, and rose flirts wildly in the middle. The base? A sultry mix of musk, sandalwood, and vanilla with just a whisper of civet and patchouli to keep things deliciously dangerous.</p><p >Fierce, flirty, and totally unforgettable.</p><p ><strong>Mood:</strong> Bright. Floral. Classic</p><h4 ><strong>Size Matters</strong></h4><p >Let us help you decide which bottle size to select based on the Whiff Maker [Diffuser] model.</p><ul ><li><p ><strong><span>10ml: </span></strong>Perfect size for <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/mobile-one"">Mobile One</a> or <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/mobile-two"">Mobile Two</a></p></li><li><p ><strong><span>150ml: </span></strong>Works for either <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/fusion-200"">Fusion 200</a> (200ml) or <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/twosome"">Twosome</a> (100ml).</p></li><li><p ><strong><span>500ml</span></strong>: Fills up <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/fusion-500"">Fusion 500</a> (500ml) and <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/polymer-one"">Polymer One</a> (400ml) to satisfaction, with more left for later.</p></li></ul><p >View a complete list of all machines <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-by-space-size"">here</a>.</p>",Whiffed Aromas,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Fragrance Oil,,TRUE,Size,500ml,,,,,OIL-MNS-500,,shopify,4,deny,manual,160.00,129.99,TRUE,TRUE,,,,,FALSE,Sweet Juliet,,,unisex,adult,OIL-MNS-500,new,TRUE,,ml,,,TRUE,,,TRUE,,,active
sweet-juliet,,,,,,,,,,,,,,,,,,,,,,,,,https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/faf7b8b2-c0e5-4db0-a51f-1120c72e148b/sweet+juliet+scent.png,1,Sweet Juliet - Image 1,,,,,,,,,,,,,,,,,,,,
the-good-boys,The Good Boys,"<h3 ><a href=""https://www.whiffedaromas.com/gilded-exotics"">A GILDED EXOTICS COLLECTION</a></h3><pre><code>Inspired By: Light Blue Homme, Dolce &amp; Gabanna</code></pre><ul ><li><p ><strong><span>Top Notes: </span></strong><span>Grapefruit, Bergamot, Sicilian Mandarin and Juniper</span></p></li><li><p ><strong><span>Middle Notes:</span></strong><span> Pepper, Rosemary and Brazilian Rosewood</span></p></li><li><p ><strong><span>Base Notes: </span></strong><span>Musk, Incense, and Oakmoss</span></p></li></ul><p >Fresh grapefruit and zesty mandarin kick things off, like the charming guy who’s almost too good to be true. The middle spices it up with a peppery punch, rosemary’s herbal flair, and smooth rosewood vibes — keeping you guessing. Finally, a smoky, musky base with incense and oakmoss wraps it all up in a rugged, irresistible hug.</p><p >Good? Yes. But with a naughty streak you can’t resist.</p><p ><strong>Mood:</strong> Fresh. Spiced. Structured.</p><h4 ><strong>Size Matters</strong></h4><p >Let us help you decide which bottle size to select based on the Whiff Maker [Diffuser] model.</p><ul ><li><p ><strong><span>10ml: </span></strong>Perfect size for <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/mobile-one"">Mobile One</a> or <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/mobile-two"">Mobile Two</a></p></li><li><p ><strong><span>150ml: </span></strong>Works for either <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/fusion-200"">Fusion 200</a> (200ml) or <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/twosome"">Twosome</a> (100ml).</p></li><li><p ><strong><span>500ml</span></strong>: Fills up <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/fusion-500"">Fusion 500</a> (500ml) and <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-diffusers/p/polymer-one"">Polymer One</a> (400ml) to satisfaction, with more left for later.</p></li></ul><p >View a complete list of all machines <a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-by-space-size"">here</a>.</p>",Whiffed Aromas,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Fragrance Oil,,TRUE,Size,500ml,,,,,DC-TGB-500,,shopify,999,deny,manual,159.99,129.99,TRUE,TRUE,,,,,FALSE,The Good Boys,,,unisex,adult,DC-TGB-500,new,TRUE,,ml,,,TRUE,,,TRUE,,,active
the-good-boys,,,,,,,,,,,,,,,,,,,,,,,,,https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/c638591c-53d8-41d0-9af7-3f73d0f157cc/the+good+boys+scent.png,1,The Good Boys - Image 1,,,,,,,,,,,,,,,,,,,,
the-good-boys,,,,,,,,,,,,,,,,,,,,,,,,,https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/9b554698-c303-4a56-a1be-846f0d447229/the+good+boys+bottle.jpeg,2,The Good Boys - Image 2,,,,,,,,,,,,,,,,,,,,
